ensgene	entrez	symbol	chr	start	end	strand	biotype	description
ENSG00000000003	7105	TSPAN6	X	99883667	99894988	-1	protein_coding	tetraspanin 6 [Source:HGNC Symbol;Acc:11858]
ENSG00000000005	64102	TNMD	X	99839799	99854882	1	protein_coding	tenomodulin [Source:HGNC Symbol;Acc:17757]
ENSG00000000419	8813	DPM1	20	49551404	49575092	-1	protein_coding	dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit [Source:HGNC Symbol;Acc:3005]
ENSG00000000457	57147	SCYL3	1	169818772	169863408	-1	protein_coding	SCY1-like 3 (S. cerevisiae) [Source:HGNC Symbol;Acc:19285]
ENSG00000000460	55732	C1orf112	1	169631245	169823221	1	protein_coding	chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:25565]
ENSG00000000938	2268	FGR	1	27938575	27961788	-1	protein_coding	feline Gardner-Rasheed sarcoma viral oncogene homolog [Source:HGNC Symbol;Acc:3697]
ENSG00000000971	3075	CFH	1	196621008	196716634	1	protein_coding	complement factor H [Source:HGNC Symbol;Acc:4883]
ENSG00000001036	2519	FUCA2	6	143815948	143832827	-1	protein_coding	fucosidase, alpha-L- 2, plasma [Source:HGNC Symbol;Acc:4008]
ENSG00000001084	2729	GCLC	6	53362139	53481768	-1	protein_coding	glutamate-cysteine ligase, catalytic subunit [Source:HGNC Symbol;Acc:4311]
ENSG00000001167	4800	NFYA	6	41040684	41067715	1	protein_coding	nuclear transcription factor Y, alpha [Source:HGNC Symbol;Acc:7804]
ENSG00000001460	90529	STPG1	1	24683489	24743424	-1	protein_coding	sperm-tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:28070]
ENSG00000001461	57185	NIPAL3	1	24742284	24799466	1	protein_coding	NIPA-like domain containing 3 [Source:HGNC Symbol;Acc:25233]
ENSG00000001497	81887	LAS1L	X	64732462	64754655	-1	protein_coding	LAS1-like (S. cerevisiae) [Source:HGNC Symbol;Acc:25726]
ENSG00000001561	22875	ENPP4	6	46097730	46114436	1	protein_coding	ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative) [Source:HGNC Symbol;Acc:3359]
ENSG00000001617	6405	SEMA3F	3	50192478	50226508	1	protein_coding	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F [Source:HGNC Symbol;Acc:10728]
